route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,normal_day_time_min,morning_traffic_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.984563544,0,1.164129071,1.293476745,1.66304153,Start,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.322248859,0.984563544,4.003304052,4.448115614,5.719005789,Start,Short,Far,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.246192687,4.306812403,0.289800215,0.322000239,0.414000308,Start,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.335306543,4.55300509,0.384786607,0.427540674,0.549695152,Start,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.383821771,4.888311633,0.463844447,0.515382719,0.662634924,Start,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.553450405,5.272133403,0.66883848,0.743153867,0.955483543,Start,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.228813219,5.825583808,1.407875798,1.564306442,2.01125114,Start,Very Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.224168177,7.054397028,0.262947951,0.29216439,0.375639929,Early,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.527422992,7.278565204,0.641948948,0.713276609,0.917069926,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.420617463,7.805988196,0.496656968,0.551841076,0.709509955,Early,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.704346164,8.226605659,0.857131696,0.952368552,1.224473852,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,12,12,-1.96891,30.16975,KK 3 Rd_11,0.744273597,8.930951823,0.905783831,1.006426479,1.293976902,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,13,13,-1.96715,30.16319,At 15 Ndera1,1.787430794,9.67522542,2.129459487,2.366066096,3.042084981,Early,Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,14,14,-1.95801,30.1501,SEZ B2,1.234185477,11.46265621,1.571207374,1.745785971,2.244581962,Early,Very Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,15,15,-1.95409,30.13899,Kigali Parents School2,0.808335872,12.69684169,1.022937543,1.13659727,1.461339347,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,16,16,-1.95748,30.13211,La Parisse1,1.00068428,13.50517756,1.221424895,1.357138773,1.744892708,Mid,Very Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,17,17,-1.96272,30.1246,Ku Cyamutzig,1.037752431,14.50586184,1.284327111,1.427030123,1.834753015,Mid,Very Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,18,18,-1.96011,30.11533,Prince House2,0.376060601,15.54361427,0.447058117,0.496731241,0.638654453,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,19,19,-1.9612,30.11216,Alpha Palace Hotel,0.385359837,15.91967487,0.475381541,0.528201713,0.679116488,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,20,20,-1.96281,30.10898,Good Year2,0.964181241,16.30503471,1.208208197,1.342453552,1.726011709,Mid,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,21,21,-1.9682,30.1017,Sonatubes,0.438238009,17.26921595,0.503736584,0.559707316,0.719623692,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,22,22,-1.96891,30.09799,Bralirwa3,0.422027532,17.70745396,0.509886648,0.56654072,0.728409497,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,23,23,-1.96807,30.09426,Amasezerano,0.844266014,18.12948149,1.011070942,1.123412158,1.444387061,Mid,Very Short,Close,weekend
